arm,engine_rank,engine_port,minute,attainment_pct,rejected_pct,window_s,step_s,run,denominator,rule
llm-d,fleet,,47.0,,61.911,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,48.0,,59.9196,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,49.0,,38.6276,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,50.0,,62.213,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,51.0,,70.3805,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,52.0,,67.9154,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,53.0,,72.0414,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,54.0,,75.71,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,55.0,,73.053,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,56.0,,72.6864,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,57.0,,71.9519,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,58.0,,71.7015,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,59.0,,68.5907,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,60.0,,48.2056,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,1,8000,0.0,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,0.5,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,1.0,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,1.5,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,2.0,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,2.5,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,3.0,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,3.5,,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,4.0,78.481,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,4.5,45.3015,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,5.0,39.9284,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,5.5,27.0485,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,6.0,25.7025,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,6.5,24.0954,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,7.0,27.476,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,7.5,27.9767,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,8.0,30.4988,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,8.5,30.4312,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,9.0,31.4785,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,9.5,36.5891,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,10.0,41.8429,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,10.5,47.6295,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,11.0,45.952,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
PolyServe,1,8000,11.5,45.3869,,90.0,30.0,exp109r1,"admitted requests dispatched to this instance, cutoffs excluded",ladder95 (results/aggregate_analysis/ladder95/verdicts)
