arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
FluidServe,four,35.2500,12707.7464,14846.7667,99.9409,91.3067,91.3067,0.0000,59.7500
FluidServe,four,35.7500,14185.2493,15095.6444,99.8270,85.7780,85.7780,0.0000,59.7500
FluidServe,four,36.2500,14365.3871,14832.1111,99.8869,83.0357,83.0357,0.0000,59.7500
FluidServe,four,36.7500,16202.7642,15129.4111,99.8904,82.0432,82.0432,0.0000,59.7500
FluidServe,four,37.2500,14714.5858,15369.8333,100.0000,83.9601,83.9601,0.0000,59.7500
FluidServe,four,37.7500,15767.4866,15580.5222,100.0000,86.8042,86.8042,0.0000,59.7500
FluidServe,four,38.2500,15637.4089,15499.2889,100.0000,88.8279,88.8279,0.0000,59.7500
FluidServe,four,38.7500,13963.6952,15444.7111,100.0000,90.9747,90.9747,0.0000,59.7500
FluidServe,four,39.2500,16522.5679,15254.0000,100.0000,91.5806,91.5806,0.0000,59.7500
FluidServe,four,39.7500,15545.5205,15213.0444,100.0000,93.4418,93.4418,0.0000,59.7500
FluidServe,four,40.2500,12175.5468,14505.4778,100.0000,94.6141,94.6141,0.0000,59.7500
FluidServe,four,40.7500,12612.0440,13284.7111,100.0000,96.4194,96.4194,0.0000,59.7500
FluidServe,four,41.2500,14658.3851,11056.2778,100.0000,98.1923,98.1923,0.0000,59.7500
FluidServe,four,41.7500,11776.9871,10460.7667,99.9104,99.4648,99.4648,0.0000,59.7500
FluidServe,four,42.2500,12736.6043,11959.1222,99.9204,99.8410,99.8410,0.0000,59.7500
FluidServe,four,42.7500,9439.7428,14075.6333,99.9342,98.6364,98.6364,0.0000,59.7500
FluidServe,four,43.2500,13833.8808,14490.9222,99.8124,97.1985,97.1985,0.0000,59.7500
FluidServe,four,43.7500,12674.8573,12510.9111,99.7884,96.7852,96.7852,0.0000,59.7500
FluidServe,four,44.2500,16005.9581,9892.3111,99.7345,97.5758,97.5758,0.0000,59.7500
FluidServe,four,44.7500,11801.8555,8739.3222,100.0000,99.7917,99.7917,0.0000,59.7500
FluidServe,four,45.2500,7988.9997,8297.4556,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,45.7500,7706.8741,10332.8667,100.0000,99.9020,99.9020,0.0000,59.7500
FluidServe,four,46.2500,5933.9293,12258.6556,100.0000,97.8651,97.8651,0.0000,59.7500
FluidServe,four,46.7500,10434.1395,13816.3333,99.7658,92.2744,92.2744,0.0000,59.7500
FluidServe,four,47.2500,13528.5841,13460.3000,99.6897,88.3769,88.3769,0.0000,59.7500
FluidServe,four,47.7500,14455.9399,12889.2556,99.5997,84.7411,84.7411,0.0000,59.7500
FluidServe,four,48.2500,12165.6521,12533.0444,99.8315,87.0683,87.0683,0.0000,59.7500
FluidServe,four,48.7500,13100.0139,12675.1222,99.9162,89.2216,89.2216,0.0000,59.7500
FluidServe,four,49.2500,12923.2728,13238.4000,100.0000,84.1578,84.1578,0.0000,59.7500
FluidServe,four,49.7500,15100.4079,14176.6778,100.0000,76.3989,76.3989,0.0000,59.7500
FluidServe,four,50.2500,14081.9279,15435.9333,100.0000,69.4534,69.4534,0.0000,59.7500
