panel,arm,run,engine,role,n_windows,itl_ms,cdf
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,20.05757,0.03063
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,20.86602,0.03169
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,21.70706,0.03489
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,22.58199,0.03968
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,23.49219,0.04820
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,24.43908,0.05726
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,25.42414,0.06684
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,26.44889,0.07563
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,27.51496,0.08602
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,28.62399,0.09348
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,29.77772,0.09880
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,30.97796,0.10386
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,32.22657,0.10892
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,33.52551,0.11132
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,34.87681,0.11265
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,36.28257,0.11345
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,37.74499,0.11425
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,39.26636,0.11531
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,40.84905,0.11531
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,42.49553,0.11638
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,44.20838,0.11851
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,45.99026,0.11957
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,47.84397,0.12117
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,49.77239,0.12330
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,51.77854,0.12623
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,53.86556,0.13076
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,56.03669,0.13422
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,58.29533,0.13768
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,60.64501,0.14008
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,63.08940,0.14514
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,65.63231,0.15073
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,68.27772,0.15766
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,71.02976,0.16352
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,73.89272,0.16884
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,76.87108,0.17443
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,79.96948,0.18349
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,83.19277,0.19494
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,86.54598,0.21198
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,90.03435,0.23009
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,93.66332,0.25859
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,97.43856,0.29561
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,101.36596,0.34035
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,105.45167,0.38668
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,109.70206,0.43915
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,114.12377,0.49800
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,118.72370,0.55126
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,123.50903,0.61092
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,128.48725,0.66551
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,133.66612,0.70360
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,139.05374,0.74328
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,144.65851,0.77949
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,150.48918,0.81145
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,156.55488,0.83116
