arm,engine_rank,engine_port,series,minute,value,resident_chat,resident_deepresearch,resident_swe,budgets
llm-d,1,8003,tbt_ms,2.7645,21.214,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.7812,21.075,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.7978,20.972,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8145,20.924,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8312,20.843,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8478,20.778,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8645,20.715,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8812,20.634,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.8978,20.621,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9145,20.605,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9312,20.582,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9478,20.613,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9645,20.645,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9812,20.727,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.9978,20.792,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0145,20.827,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0312,20.835,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0478,20.976,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0645,21.06,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0812,21.118,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.0978,21.198,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1145,21.288,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1312,21.349,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1478,21.412,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1645,21.458,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1812,21.465,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.1978,21.501,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.2145,21.512,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.2312,21.515,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.2478,21.531,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.2645,21.601,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,3.2812,21.587,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
