arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,3.3639,30.4241,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.3805,30.726,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.3972,30.8164,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4139,31.0118,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4305,31.1336,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4472,31.2925,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4639,31.4006,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4805,31.5671,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.4972,31.7226,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5139,31.9731,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5305,32.1051,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5472,32.1519,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5639,32.3127,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5805,32.5025,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.5972,32.6035,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6139,32.7623,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6305,32.9195,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6472,33.0961,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6639,33.3168,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6805,33.3512,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.6972,33.6665,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.7139,33.7702,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.7305,33.9178,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
