arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,0.8972,27.8896,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9139,27.9135,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9305,27.9556,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9472,28.0573,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9639,28.0614,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9805,28.0724,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9972,28.0639,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0139,28.0961,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0305,28.1286,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0472,28.1586,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0639,28.1115,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0805,28.1009,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0972,28.109,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1139,28.0484,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1305,27.9945,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1472,27.9489,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1639,27.8856,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1805,27.7873,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1972,27.8081,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
